"Name","Live Bytes","Live Objects"
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source","5,408 B (0%)","169 (0%)"
"org.springframework.core.type.classreading.SimpleMethodMetadata","5,408 B (0%)","169 (0%)"
"java.util.regex.Pattern","5,368 B (0%)","61 (0%)"
"com.fasterxml.jackson.databind.type.ClassKey","5,280 B (0%)","220 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter[]","5,184 B (0%)","288 (0%)"
"org.springframework.beans.MutablePropertyValues","5,184 B (0%)","216 (0%)"
"org.hibernate.engine.jdbc.spi.TypeInfo","5,152 B (0%)","92 (0%)"
"org.springframework.core.type.classreading.SimpleMetadataReader","5,088 B (0%)","212 (0%)"
"org.springframework.core.io.ClassPathResource","5,016 B (0%)","209 (0%)"
"java.lang.Character$UnicodeBlock","4,944 B (0%)","309 (0%)"
"org.h2.value.ValueLong","4,896 B (0%)","204 (0%)"
"java.util.logging.Logger","4,872 B (0%)","87 (0%)"
"org.thymeleaf.engine.HTMLElementName","4,760 B (0%)","119 (0%)"
"org.apache.logging.log4j.message.DefaultFlowMessageFactory","4,752 B (0%)","198 (0%)"
"org.apache.logging.log4j.spi.AbstractLogger$LocalLogBuilder","4,752 B (0%)","198 (0%)"
"sun.reflect.generics.scope.ClassScope","4,752 B (0%)","198 (0%)"
"org.jboss.logging.Log4j2Logger","4,704 B (0%)","196 (0%)"
"javax.management.ObjectName$Property","4,656 B (0%)","194 (0%)"
"org.thymeleaf.standard.processor.StandardRemovableAttributeTagProcessor","4,656 B (0%)","97 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage","4,640 B (0%)","290 (0%)"
"java.lang.management.ThreadInfo[]","4,624 B (0%)","34 (0%)"
"jdk.internal.loader.AbstractClassLoaderValue$Sub","4,608 B (0%)","192 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$Segment","4,608 B (0%)","96 (0%)"
"java.io.ObjectInputStream$BlockDataInputStream","4,536 B (0%)","81 (0%)"
"org.apache.tomcat.util.threads.TaskThread","4,512 B (0%)","12 (0%)"
"java.util.Collections$UnmodifiableRandomAccessList","4,512 B (0%)","188 (0%)"
"org.springframework.beans.PropertyValue","4,464 B (0%)","93 (0%)"
"java.util.ArrayList$Itr","4,448 B (0%)","139 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","4,448 B (0%)","139 (0%)"
"java.math.BigInteger","4,440 B (0%)","111 (0%)"
"sun.reflect.generics.tree.ClassSignature","4,416 B (0%)","184 (0%)"
"org.springframework.core.type.MethodMetadata[]","4,376 B (0%)","212 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature[]","4,304 B (0%)","184 (0%)"
"antlr.ANTLRHashString","4,288 B (0%)","134 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap","4,240 B (0%)","106 (0%)"
"org.springframework.boot.web.server.MimeMappings$Mapping","4,224 B (0%)","176 (0%)"
"java.beans.PropertyDescriptor","4,104 B (0%)","57 (0%)"
"java.lang.Byte","4,096 B (0%)","256 (0%)"
"org.thymeleaf.engine.Text","4,088 B (0%)","73 (0%)"
"java.io.ObjectStreamField[]","4,008 B (0%)","140 (0%)"
"java.io.FileCleanable","3,976 B (0%)","71 (0%)"
"java.util.Collections$SingletonList","3,960 B (0%)","165 (0%)"
"com.sun.beans.introspect.PropertyInfo","3,960 B (0%)","99 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes","3,952 B (0%)","247 (0%)"
"jdk.internal.module.ServicesCatalog$ServiceProvider","3,936 B (0%)","164 (0%)"
"java.io.ObjectOutputStream$HandleTable","3,920 B (0%)","98 (0%)"
"java.util.Hashtable","3,888 B (0%)","81 (0%)"
"java.util.jar.JarFile","3,864 B (0%)","69 (0%)"
"sun.reflect.generics.repository.MethodRepository","3,840 B (0%)","96 (0%)"
"com.sun.jmx.mbeanserver.MXBeanMapping[]","3,808 B (0%)","191 (0%)"
"java.lang.invoke.MethodHandle[]","3,792 B (0%)","49 (0%)"
"org.thymeleaf.engine.HTMLElementDefinition","3,776 B (0%)","118 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot","3,720 B (0%)","155 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry","3,696 B (0%)","66 (0%)"
"java.util.logging.Logger$ConfigurationData","3,520 B (0%)","88 (0%)"
"javax.management.ObjectName","3,520 B (0%)","110 (0%)"
"sun.rmi.transport.ConnectionInputStream","3,456 B (0%)","48 (0%)"
"org.h2.engine.Session","3,456 B (0%)","12 (0%)"
"org.h2.table.MetaTable","3,432 B (0%)","33 (0%)"
"java.io.FileDescriptor","3,400 B (0%)","85 (0%)"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","3,392 B (0%)","53 (0%)"
"java.rmi.server.UID","3,360 B (0%)","105 (0%)"
"sun.reflect.generics.tree.MethodTypeSignature","3,328 B (0%)","104 (0%)"
"jdk.internal.loader.URLClassPath$JarLoader","3,312 B (0%)","69 (0%)"
"com.sun.beans.util.Cache$Kind$Soft","3,280 B (0%)","82 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot[]","3,280 B (0%)","135 (0%)"
"org.thymeleaf.standard.processor.StandardDOMEventAttributeTagProcessor","3,264 B (0%)","68 (0%)"
"java.io.File","3,264 B (0%)","102 (0%)"
"java.util.HashMap$ValueIterator","3,240 B (0%)","81 (0%)"
"java.util.Arrays$ArrayList","3,192 B (0%)","133 (0%)"
"jdk.internal.loader.BuiltinClassLoader$1","3,168 B (0%)","99 (0%)"
"java.lang.invoke.DirectMethodHandle$Interface","3,160 B (0%)","79 (0%)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo","3,160 B (0%)","79 (0%)"
"java.security.AccessControlContext","3,160 B (0%)","79 (0%)"
"org.apache.logging.log4j.message.ParameterizedMessageFactory","3,152 B (0%)","197 (0%)"
"java.util.zip.Inflater$InflaterZStreamRef","3,144 B (0%)","131 (0%)"
"org.h2.table.Column[]","3,136 B (0%)","73 (0%)"
"org.apache.logging.log4j.message.MessageFormatMessageFactory","3,136 B (0%)","196 (0%)"
"sun.rmi.transport.ConnectionOutputStream","3,136 B (0%)","49 (0%)"
"jdk.internal.module.SystemModuleFinders$2","3,096 B (0%)","129 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRS","3,072 B (0%)","64 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue$Node","3,072 B (0%)","128 (0%)"
"java.lang.invoke.LambdaFormEditor$Transform","3,072 B (0%)","64 (0%)"
"javax.management.MBeanAttributeInfo[]","3,056 B (0%)","60 (0%)"
"sun.nio.fs.UnixPath","3,040 B (0%)","95 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader","2,992 B (0%)","34 (0%)"
"java.lang.reflect.TypeVariable[]","2,960 B (0%)","140 (0%)"
"java.lang.module.ModuleDescriptor$Provides","2,952 B (0%)","123 (0%)"
"org.springframework.core.annotation.AnnotationTypeMappings","2,952 B (0%)","123 (0%)"
"com.sun.jmx.remote.util.OrderClassLoaders","2,904 B (0%)","33 (0%)"
"java.lang.module.ResolvedModule","2,880 B (0%)","120 (0%)"
"java.util.ResourceBundle$CacheKey","2,880 B (0%)","40 (0%)"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","2,848 B (0%)","89 (0%)"
"java.time.LocalDateTime","2,832 B (0%)","118 (0%)"
"javax.management.MBeanInfo","2,832 B (0%)","59 (0%)"
"org.thymeleaf.engine.ElementDefinitions$HTMLElementDefinitionSpec","2,832 B (0%)","118 (0%)"
"java.io.DataInputStream","2,784 B (0%)","87 (0%)"
"java.io.ObjectInputStream$FieldValues","2,736 B (0%)","114 (0%)"
"java.text.DecimalFormat","2,736 B (0%)","19 (0%)"
"java.lang.invoke.DirectMethodHandle$Accessor","2,720 B (0%)","68 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper","2,720 B (0%)","34 (0%)"
"org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter","2,712 B (0%)","113 (0%)"
"java.util.zip.ZipFile$CleanableResource","2,688 B (0%)","84 (0%)"
"java.io.ObjectInputStream$FieldValues[]","2,664 B (0%)","111 (0%)"
"java.util.Collections$SetFromMap","2,664 B (0%)","111 (0%)"
"com.sun.beans.introspect.MethodInfo","2,616 B (0%)","109 (0%)"
"java.lang.RuntimePermission","2,616 B (0%)","109 (0%)"
"org.springframework.beans.factory.support.GenericBeanDefinition","2,600 B (0%)","25 (0%)"
"java.io.ObjectInputStream$PeekInputStream","2,592 B (0%)","81 (0%)"
"java.io.ObjectInputStream$HandleTable","2,592 B (0%)","81 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LRU","2,560 B (0%)","32 (0%)"
"java.util.ResourceBundle$KeyElementReference","2,560 B (0%)","80 (0%)"
"sun.reflect.annotation.AnnotationType","2,528 B (0%)","79 (0%)"
"java.util.regex.Pattern$BmpCharProperty","2,520 B (0%)","105 (0%)"
"org.springframework.core.convert.TypeDescriptor","2,520 B (0%)","105 (0%)"
"java.util.HashMap$EntrySet","2,480 B (0%)","155 (0%)"
"javax.management.MBeanAttributeInfo","2,464 B (0%)","77 (0%)"
"java.util.ServiceLoader","2,464 B (0%)","44 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue","2,448 B (0%)","102 (0%)"
"java.security.Provider$ServiceKey","2,448 B (0%)","102 (0%)"
"org.springframework.util.MimeType","2,400 B (0%)","75 (0%)"
"java.security.ProtectionDomain[]","2,384 B (0%)","92 (0%)"
"java.rmi.MarshalledObject$MarshalledObjectInputStream","2,376 B (0%)","33 (0%)"
"sun.reflect.generics.tree.TypeSignature[]","2,368 B (0%)","104 (0%)"
"org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source","2,336 B (0%)","146 (0%)"
"java.util.ArrayDeque","2,328 B (0%)","97 (0%)"
"sun.reflect.generics.scope.MethodScope","2,304 B (0%)","96 (0%)"
"java.time.format.DateTimeFormatterBuilder$NumberPrinterParser","2,304 B (0%)","72 (0%)"
